x y z
0.08282051 0.05358974 0.00000000
0.09743590 0.02923077 0.00000009
0.12179487 0.17538462 0.00000000
0.13641026 0.15102564 0.00000000
0.00000000 0.00487179 -nan
0.00974359 0.17538462 0.00000000
0.05358974 0.10230769 0.00000000
0.15102564 0.12666667 0.00000000
0.06820513 0.07794872 0.00000000
0.18025641 0.07794872 0.00000000
0.02435897 0.15102564 0.00000000
0.16564103 0.10230769 0.00000000
0.03897436 0.12666667 0.00000000
0.11205128 0.00487179 6.87697909
0.00974359 0.18025641 0.00000000
0.13641026 0.15589744 0.00000000
0.08282051 0.05846154 0.00000000
0.18025641 0.08282051 0.00000000
0.00000000 0.00974359 -nan
0.12179487 0.18025641 0.00000000
0.09743590 0.03410256 0.00000000
0.05358974 0.10717949 0.00000000
0.02435897 0.15589744 0.00000000
0.06820513 0.08282051 0.00000000
0.15102564 0.13153846 0.00000000
0.03897436 0.13153846 0.00000000
0.16564103 0.10717949 0.00000000
0.11205128 0.00974359 4.25906565
0.00974359 0.18512821 0.00000000
0.09743590 0.03897436 0.00000000
0.05358974 0.11205128 0.00000000
0.18025641 0.08769231 0.00000000
0.13641026 0.16076923 0.00000000
0.08282051 0.06333333 0.00000000
0.02435897 0.16076923 0.00000000
0.00000000 0.01461538 -nan
0.12179487 0.18512821 0.00000000
0.06820513 0.08769231 0.00000000
0.15102564 0.13641026 0.00000000
0.03897436 0.13641026 0.00000000
0.16564103 0.11205128 0.00000000
0.11205128 0.01461538 2.98863300
0.09743590 0.04384615 0.00000000
0.00974359 0.19000000 0.00000000
0.05358974 0.11692308 0.00000000
0.18025641 0.09256410 0.00000000
0.02435897 0.16564103 0.00000000
0.13641026 0.16564103 0.00000000
0.12179487 0.19000000 0.00000000
0.08282051 0.06820513 0.00000000
0.06820513 0.09256410 0.00000000
0.00000000 0.01948718 -nan
0.16564103 0.11692308 0.00000000
0.09743590 0.04871795 0.00000000
0.15102564 0.14128205 0.00000000
0.03897436 0.14128205 0.00000000
0.11205128 0.01948718 2.14097635
0.00974359 0.19487179 0.00000000
0.12179487 0.19487179 0.00000000
0.05358974 0.12179487 0.00000000
0.02435897 0.17051282 0.00000000
0.18025641 0.09743590 0.00000000
0.13641026 0.17051282 0.00000000
0.06820513 0.09743590 0.00000000
0.00000000 0.02435897 -nan
0.08282051 0.07307692 0.00000000
0.01461538 0.00487179 0.00000000
0.16564103 0.12179487 0.00000000
0.09743590 0.05358974 0.00000000
0.15102564 0.14615385 0.00000000
0.11205128 0.02435897 1.46124183
0.03897436 0.14615385 0.00000000
0.12666667 0.00487179 6.97092136
0.05358974 0.12666667 0.00000000
0.02435897 0.17538462 0.00000000
0.00000000 0.02923077 -nan
0.01461538 0.00974359 0.00000000
0.18025641 0.10230769 0.00000000
0.13641026 0.17538462 0.00000000
0.16564103 0.12666667 0.00000000
0.06820513 0.10230769 0.00000000
0.08282051 0.07794872 0.00000000
0.09743590 0.05846154 0.00000000
0.11205128 0.02923077 0.78896718
0.03897436 0.15102564 0.00000000
0.15102564 0.15102564 0.00000000
0.12666667 0.00974359 4.39745817
0.05358974 0.13153846 0.00000000
0.16564103 0.13153846 0.00000000
0.18025641 0.10717949 0.00000000
0.02435897 0.18025641 0.00000000
0.09743590 0.06333333 0.00000000
0.00000000 0.03410256 -nan
0.01461538 0.01461538 0.00000000
0.06820513 0.10717949 0.00000000
0.13641026 0.18025641 0.00000000
0.08282051 0.08282051 0.00000000
0.12666667 0.01461538 3.17084296
0.11205128 0.03410256 0.00000280
0.18025641 0.11205128 0.00000000
0.03897436 0.15589744 0.00000000
0.15102564 0.15589744 0.00000000
0.16564103 0.13641026 0.00000000
0.05358974 0.13641026 0.00000000
0.01461538 0.01948718 0.00000000
0.09743590 0.06820513 0.00000000
0.02435897 0.18512821 0.00000000
0.00000000 0.03897436 -nan
0.06820513 0.11205128 0.00000000
0.12666667 0.01948718 2.37503551
0.13641026 0.18512821 0.00000000
0.08282051 0.08769231 0.00000000
0.18025641 0.11692308 0.00000000
0.01461538 0.02435897 0.00000000
0.16564103 0.14128205 0.00000000
0.15102564 0.16076923 0.00000000
0.11205128 0.03897436 0.00000000
0.03897436 0.16076923 0.00000000
0.05358974 0.14128205 0.00000000
0.09743590 0.07307692 0.00000000
0.12666667 0.02435897 1.76923787
0.08282051 0.09256410 0.00000000
0.02435897 0.19000000 0.00000000
0.00000000 0.04384615 -nan
0.13641026 0.19000000 0.00000000
0.01461538 0.02923077 0.00000000
0.06820513 0.11692308 0.00000000
0.18025641 0.12179487 0.00000000
0.15102564 0.16564103 0.00000000
0.16564103 0.14615385 0.00000000
0.11205128 0.04384615 0.00000000
0.03897436 0.16564103 0.00000000
0.05358974 0.14615385 0.00000000
0.12666667 0.02923077 1.24592518
0.08282051 0.09743590 0.00000000
0.00000000 0.04871795 -nan
0.09743590 0.07794872 0.00000000
0.13641026 0.19487179 0.00000000
0.01461538 0.03410256 0.00000000
0.02435897 0.19487179 0.00000000
0.06820513 0.12179487 0.00000000
0.11205128 0.04871795 0.00000000
0.16564103 0.15102564 0.00000000
0.18025641 0.12666667 0.00000000
0.15102564 0.17051282 0.00000000
0.12666667 0.03410256 0.70818954
0.03897436 0.17051282 0.00000000
0.05358974 0.15102564 0.00000000
0.01461538 0.03897436 0.00000000
0.09743590 0.08282051 0.00000000
0.08282051 0.10230769 0.00000000
0.00000000 0.05358974 -nan
0.02923077 0.00487179 4.04111539
0.14128205 0.00487179 7.04462269
0.06820513 0.12666667 0.00000000
0.16564103 0.15589744 0.00000000
0.11205128 0.05358974 0.00000000
0.12666667 0.03897436 0.00011199
0.18025641 0.13153846 0.00000000
0.15102564 0.17538462 0.00000000
0.03897436 0.17538462 0.00000000
0.00000000 0.05846154 -nan
0.09743590 0.08769231 0.00000000
0.05358974 0.15589744 0.00000000
0.01461538 0.04384615 0.00000000
0.08282051 0.10717949 0.00000000
0.16564103 0.16076923 0.00000000
0.12666667 0.04384615 0.00000000
0.06820513 0.13153846 0.00000000
0.02923077 0.00974359 0.00000000
0.14128205 0.00974359 4.50458845
0.11205128 0.05846154 0.00000000
0.18025641 0.13641026 0.00000000
0.15102564 0.18025641 0.00000000
0.00000000 0.06333333 -nan
0.05358974 0.16076923 0.00000000
0.03897436 0.18025641 0.00000000
0.09743590 0.09256410 0.00000000
0.08282051 0.11205128 0.00000000
0.06820513 0.13641026 0.00000000
0.12666667 0.04871795 0.00000000
0.01461538 0.04871795 0.00000000
0.16564103 0.16564103 0.00000000
0.02923077 0.01461538 0.00000000
0.14128205 0.01461538 3.30924318
0.18025641 0.14128205 0.00000000
0.11205128 0.06333333 0.00000000
0.15102564 0.18512821 0.00000000
0.00000000 0.06820513 -nan
0.05358974 0.16564103 0.00000000
0.09743590 0.09743590 0.00000000
0.08282051 0.11692308 0.00000000
0.03897436 0.18512821 0.00000000
0.16564103 0.17051282 0.00000000
0.12666667 0.05358974 0.00000000
0.06820513 0.14128205 0.00000000
0.01461538 0.05358974 0.00000000
0.18025641 0.14615385 0.00000000
0.02923077 0.01948718 0.00000000
0.14128205 0.01948718 2.54755647
0.05358974 0.17051282 0.00000000
0.11205128 0.06820513 0.00000000
0.15102564 0.19000000 0.00000000
0.00000000 0.07307692 -nan
0.16564103 0.17538462 0.00000000
0.09743590 0.10230769 0.00000000
0.08282051 0.12179487 0.00000000
0.12666667 0.05846154 0.00000000
0.03897436 0.19000000 0.00000000
0.06820513 0.14615385 0.00000000
0.01461538 0.05846154 0.00000000
0.18025641 0.15102564 0.00000000
0.02923077 0.02435897 0.00000000
0.05358974 0.17538462 0.00000000
0.14128205 0.02435897 1.98393348
0.00000000 0.07794872 -nan
0.11205128 0.07307692 0.00000000
0.08282051 0.12666667 0.00000000
0.15102564 0.19487179 0.00000000
0.09743590 0.10717949 0.00000000
0.16564103 0.18025641 0.00000000
0.03897436 0.19487179 0.00000000
0.12666667 0.06333333 0.00000000
0.14128205 0.02923077 1.52172299
0.06820513 0.15102564 0.00000000
0.00000000 0.08282051 -nan
0.01461538 0.06333333 0.00000000
0.05358974 0.18025641 0.00000000
0.11205128 0.07794872 0.00000000
0.02923077 0.02923077 0.00000000
0.18025641 0.15589744 0.00000000
0.08282051 0.13153846 0.00000000
0.15589744 0.00487179 7.10399356
0.09743590 0.11205128 0.00000000
0.14128205 0.03410256 1.10441336
0.16564103 0.18512821 0.00000000
0.11205128 0.08282051 0.00000000
0.04384615 0.00487179 5.47723358
0.12666667 0.06820513 0.00000000
0.06820513 0.15589744 0.00000000
0.00000000 0.08769231 -nan
0.14128205 0.03897436 0.66988241
0.01461538 0.06820513 0.00000000
0.05358974 0.18512821 0.00000000
0.02923077 0.03410256 0.00000000
0.08282051 0.13641026 0.00000000
0.18025641 0.16076923 0.00000000
0.11205128 0.08769231 0.00000000
0.15589744 0.00974359 4.59002141
0.09743590 0.11692308 0.00000000
0.16564103 0.19000000 0.00000000
0.08282051 0.14128205 0.00000000
0.14128205 0.04384615 0.00436098
0.00000000 0.09256410 -nan
0.04384615 0.00974359 1.66356937
0.06820513 0.16076923 0.00000000
0.12666667 0.07307692 0.00000000
0.01461538 0.07307692 0.00000000
0.05358974 0.19000000 0.00000000
0.02923077 0.03897436 0.00000000
0.11205128 0.09256410 0.00000000
0.18025641 0.16564103 0.00000000
0.15589744 0.01461538 3.41814997
0.09743590 0.12179487 0.00000000
0.04384615 0.01461538 0.00000000
0.16564103 0.19487179 0.00000000
0.00000000 0.09743590 -nan
0.14128205 0.04871795 0.00000000
0.01461538 0.07794872 0.00000000
0.08282051 0.14615385 0.00000000
0.02923077 0.04384615 0.00000000
0.12666667 0.07794872 0.00000000
0.05358974 0.19487179 0.00000000
0.06820513 0.16564103 0.00000000
0.11205128 0.09743590 0.00000000
0.18025641 0.17051282 0.00000000
0.15589744 0.01948718 2.68074530
0.09743590 0.12666667 0.00000000
0.02923077 0.04871795 0.00000000
0.08282051 0.15102564 0.00000000
0.01461538 0.08282051 0.00000000
0.04384615 0.01948718 0.00000000
0.17051282 0.00487179 7.15284579
0.00000000 0.10230769 -nan
0.14128205 0.05358974 0.00000000
0.12666667 0.08282051 0.00000000
0.05846154 0.00487179 6.08577298
0.06820513 0.17051282 0.00000000
0.11205128 0.10230769 0.00000000
0.18025641 0.17538462 0.00000000
0.08282051 0.15589744 0.00000000
0.15589744 0.02435897 2.14477525
0.09743590 0.13153846 0.00000000
0.02923077 0.05358974 0.00000000
0.04384615 0.02435897 0.00000000
0.00000000 0.10717949 -nan
0.01461538 0.08769231 0.00000000
0.11205128 0.10717949 0.00000000
0.17051282 0.00974359 4.65976528
0.14128205 0.05846154 0.00000000
0.08282051 0.16076923 0.00000000
0.12666667 0.08769231 0.00000000
0.05846154 0.00974359 2.97697338
0.06820513 0.17538462 0.00000000
0.00000000 0.11205128 -nan
0.18025641 0.18025641 0.00000000
0.09743590 0.13641026 0.00000000
0.15589744 0.02923077 1.71735016
0.02923077 0.05846154 0.00000000
0.04384615 0.02923077 0.00000000
0.01461538 0.09256410 0.00000000
0.11205128 0.11205128 0.00000000
0.08282051 0.16564103 0.00000000
0.17051282 0.01461538 3.50617870
0.14128205 0.06333333 0.00000000
0.00000000 0.11692308 -nan
0.05846154 0.01461538 0.72011038
0.12666667 0.09256410 0.00000000
0.06820513 0.18025641 0.00000000
0.09743590 0.14128205 0.00000000
0.18025641 0.18512821 0.00000000
0.15589744 0.03410256 1.35024902
0.04384615 0.03410256 0.00000000
0.11205128 0.11692308 0.00000000
0.02923077 0.06333333 0.00000000
0.01461538 0.09743590 0.00000000
0.17051282 0.01948718 2.78698389
0.14128205 0.06820513 0.00000000
0.09743590 0.14615385 0.00000000
0.00000000 0.12179487 -nan
0.08282051 0.17051282 0.00000000
0.12666667 0.09743590 0.00000000
0.05846154 0.01948718 0.00000000
0.06820513 0.18512821 0.00000000
0.04384615 0.03897436 0.00000000
0.18025641 0.19000000 0.00000000
0.15589744 0.03897436 1.00996983
0.11205128 0.12179487 0.00000000
0.00000000 0.12666667 -nan
0.02923077 0.06820513 0.00000000
0.09743590 0.15102564 0.00000000
0.01461538 0.10230769 0.00000000
0.17051282 0.02435897 2.27067373
0.14128205 0.07307692 0.00000000
0.05846154 0.02435897 0.00000000
0.08282051 0.17538462 0.00000000
0.04384615 0.04384615 0.00000000
0.12666667 0.10230769 0.00000000
0.06820513 0.19000000 0.00000000
0.18025641 0.19487179 0.00000000
0.11205128 0.12666667 0.00000000
0.00000000 0.13153846 -nan
0.15589744 0.04384615 0.65622573
0.04384615 0.04871795 0.00000000
0.02923077 0.07307692 0.00000000
0.09743590 0.15589744 0.00000000
0.14128205 0.07794872 0.00000000
0.01461538 0.10717949 0.00000000
0.18512821 0.00487179 7.19374866
0.17051282 0.02923077 1.86606779
0.05846154 0.02923077 0.00000000
0.08282051 0.18025641 0.00000000
0.06820513 0.19487179 0.00000000
0.12666667 0.10717949 0.00000000
0.00000000 0.13641026 -nan
0.04384615 0.05358974 0.00000000
0.11205128 0.13153846 0.00000000
0.15589744 0.04871795 0.09047825
0.09743590 0.16076923 0.00000000
0.14128205 0.08282051 0.00000000
0.02923077 0.07794872 0.00000000
0.18512821 0.00974359 4.71779030
0.01461538 0.11205128 0.00000000
0.00000000 0.14128205 -nan
0.12666667 0.11205128 0.00000000
0.17051282 0.03410256 1.52775164
0.05846154 0.03410256 0.00000000
0.08282051 0.18512821 0.00000000
0.07307692 0.00487179 6.42699728
0.04384615 0.05846154 0.00000000
0.11205128 0.13641026 0.00000000
0.15589744 0.05358974 0.00000005
