x y z
0.15200000 0.15200000 0.00000000
0.03800000 0.15200000 -nan
0.03800000 0.03800000 -nan
0.00000000 0.15200000 -nan
0.11400000 0.15200000 0.00000000
0.15200000 0.03800000 1.00783309
0.19000000 0.03800000 1.48520388
0.19000000 0.15200000 0.00000000
0.07600000 0.15200000 -nan
0.11400000 0.03800000 0.00000000
0.07600000 0.03800000 0.00000000
0.00000000 0.03800000 -nan
0.03800000 0.19000000 0.00000000
0.00000000 0.19000000 -nan
0.15200000 0.19000000 0.00000000
0.19000000 0.07600000 0.00000000
0.19000000 0.19000000 0.00000000
0.03800000 0.07600000 -nan
0.11400000 0.19000000 0.00000000
0.11400000 0.07600000 0.00000000
0.07600000 0.19000000 0.00000000
0.15200000 0.07600000 0.00000000
0.07600000 0.07600000 -nan
0.00000000 0.07600000 -nan
0.00000000 0.22800000 -nan
0.19000000 0.22800000 0.00000000
0.19000000 0.11400000 0.00000000
0.15200000 0.22800000 0.00000000
0.03800000 0.22800000 0.00000000
0.11400000 0.22800000 0.00000000
0.03800000 0.11400000 -nan
0.07600000 0.22800000 0.00000000
0.11400000 0.11400000 0.00000000
0.15200000 0.11400000 0.00000000
0.07600000 0.11400000 -nan
0.00000000 0.11400000 -nan
